msa_sentence,dialect_sentence,dialect,region,split
بلد فاسدة قد أصابها الحقد و أعمى قلوب أهلها,بلاد كلبة صادها الحقد و عمات قلوب عبادها,Tunis,MGR,train
شكرا على هذا الموضوع الرائع و من عاداتى,شكرا على الموضوع الرائع هذا,Tunis,MGR,train
فلما اقدموا علي ذبح الحمر الاهليه,هوما حبوا يذبحوا لبهيم,Tunis,MGR,train
كلامك هذا  ونقاشك  ومجادلتك لهذا الاخ  هو نجاح للموضوع  فى  حد  ذاته .,وكلامك ونقاشك وجدالك مع الاخ هذا فى حد ذاته نجاح للموضوع,Tunis,MGR,train
انا لم أقرأ شىء كهذا من قبل,انا عمري ما قريت جواب هكا,Tunis,MGR,train
هذا ليس سبب مقنع أختى العزيزه صافى يمكن أن يكون لأنك مازلتى جديدة و عندما تعتادى على الاعضاء لا تستطيعى ان تتركى المنتدى مره اخرى و ستتاكدى من هذا فى المستقبل,هذا مش سبب مقنع اختي العزيزة صافي يمكن توا على خاطر مازلت جديدة و توا كيف تستانس بالاعضاء معادش تنجم تخلي المنتدى و الايام بيناتنا,Tunis,MGR,train
وعندما ذهب الناس حتى يجمعوا الزكاه من القاره الأفريقيه عادوا ومعهم أموال كثيرة أكثر مما يمتلكون,ووقت اللي مشاو الناس يلموا في الزكاة من القارة الافريقية رجعوا و معاهم فلوس اكثر ملي عندهم,Tunis,MGR,train
نحن أمة ضعيفة,احنا امة مستضعفة ؟,Tunis,MGR,train
أيوجد شخص يشعر بهذه الاحاسيس لمجرد موت عصفور,و بالحق فما ناس حساسة تتاثر بموت عصفور,Tunis,MGR,train
قدمتى لى الحباه على طبق من ذهب بهذه المعلومه,انت قدمتلي الدنيا في طبق بالحكاية هذي,Tunis,MGR,train
أنا لم أقل شىء,انا ما قلت شئ,Tunis,MGR,train
انا  ليت  بحمار  لكى  تخاف  منى .  انا  كذلك  حمار   واكثر  منك  .,أنا مانيش بهيم باش تخاف مني مالة أنا بهيم وإنت أبهم مني,Tunis,MGR,train
و الان من الممكن ان تعلن عن موضوع اليك من خلالل هذا الموضوع لانك تراه مهم او تضعه فى قسم لا يوجد عليه اقبال,توا تنجم تعلن عن موضوع لان مهم بالنسبة ليك ولا باش تهبطو في قسم معليهوش اقبال,Tunis,MGR,train
أتمنى من الرب يا أمة الله ان لا تخرج الجوائز,اما يا ربي يا امة الله ما تطلعش فما جوائز,Tunis,MGR,train
النوابغ من  سيطور  دنيانا .,النوابغ اللي باش يطورولنا دنيتنا,Tunis,MGR,train
وان لم  يصلح  لنا  هذا  الوقت .فهل   يوجد وقت اخر  لمجموعه الشباب .,وكان مانفعش انجم نعملوا موعد اخر مع لولاد,Tunis,MGR,train
من الممكن أن يكون هناك حبٌ و لكنه للمصلحة أو مجرد تسلية و لكن أيضاً هناك حب حقيقى,هو يمكن فما حب متاع مصلحة و تضييع وقت اما فما حب حقيقي و صادق,Tunis,MGR,train
و هناك رجليين يسيرون احدهم يخبر الاخر هل ترى هذه السيده كيف تحب زوجها الى اى درجه ؟,وزوز رجال ماشيين و شافوها قام واحد قال للاخر شوف لمراء هاذي قاداش تحب راجلها؟,Tunis,MGR,train
و الان  البنات هنا فى المقاهى و الكافيهات اكثر من الشباب و البنات الذين يدخنون الشيشه هم الذى عندهم مظهر جميل,وتوا لبنات ولاو في القهاوي أكثر من الولاد ولبنات باهين هما إلي عندهم برستيج,Tunis,MGR,train
ههه,ههههه,Tunis,MGR,train
الظابط قال له لا تقلق يا أخى سنجلبها لك من أسفل الارض,البوليس يقولو ما تخافش يا معلم توى نجيبوهالك من تحت الارض,Tunis,MGR,train
الناس تصور و لم تصافحنى لانها لا تريد ذلك,وبقية الناس تصوروا وما يسلموش على خاطر ما يسلموش,Tunis,MGR,train
هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .,وإختصاص هذا أنا نحبو خاصةً كي تبدا تكب على الشخصيات والإحساس إلي تحسو,Tunis,MGR,train
و قبل ان اصل رن على طلال و قال اهلاً بالبندر,قبل ما يوصل كلم طلال قالو عسلامة بندر,Tunis,MGR,train
إذا كان الاخر قريب منى و عزيز عليا من الممكن ان افضله على مصلحتى الشخصية,لو غيري هذا حد قريبلي و عزيز عليا يمكن نبجلو حتى على حساب روحي انا شخصيا,Tunis,MGR,train
حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,برسمي يا بنبونة كلك تحفة و نستناو منك اكثر,Tunis,MGR,train
و ياتى اليه الجميع من كل مكان للتعلم و به شيوخ افاضل لا يصح ان نقول عليهم ارهابيين او من به ارهابيين,وعلاش الناس تجي من كل بلاصة بش تتعلم على خاطر عندهم شيوخ أفاضل مايجيش نقولوا عليهم ارهابيين,Tunis,MGR,train
وان  عاش  مثل  البهلوان,حتى كان عاش كيف لكلون,Tunis,MGR,train
ما مشكلتك مع سيادته يا أخى العزيز لما انت منزعج هكذا,شبيك و شمدخلك في اصحاب المعالي يا خويا لعزيز علاش متغشش,Tunis,MGR,train
انا وصديق لي ذاهبان لتنفيذ رحلة جوية من مطار شرم الشيخ إلى مطار القاهرة,انا وصاحبي ماشيين في رحلة طيران من مطار شرم لمطار القاهره,Tunis,MGR,train
حبيبتى موضوعك جميل جداً,حبيبتي موضوعك حلو برشا برشا,Tunis,MGR,train
ستجدها اصبحت ممتلئه,باش نلقاوها مازالت معبية,Tunis,MGR,train
تستطيع ان تسمع شهادات من النساء اللاتى تعرضن للتحرش و تضع نفسك بدلاً منهم و الرعب و القلق و الغثيان و الكابوس الذى يعيشن فيه؟,ممكن تسمع شهادات من بنات اتعرضوا للتحرش و تحط روحك في بلاسطهم بالرعب و القلق و التقزز اللي عايشين فيه؟,Tunis,MGR,train
سامحك الله  يا نورس,الله يسامحك يا نورس,Tunis,MGR,train
كل رمضان وأنت طيبة,كل رمضان و انت حلوة,Tunis,MGR,train
سحبها سيجعله يتلاشى و تتهدم فى عيون صهيون,خلاها معادش تظهر دغدغة بعينين صهيون,Tunis,MGR,train
الان يا سيدى خريجة كلية العلوم قسم الكيمياء الحيوية بتقدير جيد جداً,شوف انا يا سيدي متخرجة من كلية العلوم قسم الكيمياء الحيوية بملاحظة جيد جدا,Tunis,MGR,train
اضغط (انقر) هنا للدخول,انزل هنا باش تدخل,Tunis,MGR,train
فا بمشيئه  الله  سوف ينشر  ديوانا   فى  القريب  العاجل,فما ديوان بش ينشره على قريب انشاءالله,Tunis,MGR,train
و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,Tunis,MGR,train
سأغادر تعنى أنى سأغادر,بش نسافر يعني بش نسافر,Tunis,MGR,train
أنت وقدرتك على الملاحظة,ولا انت و قدرتك على الملاحظة عادة,Tunis,MGR,train
إعتبارا ً أن مبارك فرعون فربما الله يرسل له موسى,على اساس مبارك ولى فرعون وربي بعثلو موسى,Tunis,MGR,train
وتجاهلت المرأة أنوثتها,وتجاهلت المرأة أنوثتها,Tunis,MGR,train
اتعلم  ان  بقاله  سيدى  بشر  من  اكثر  الاماكن التى  كويت  بنار  الاشعات .,سيدى بشر أكثر محل ماكلة طلع عليه إشاعات فى الدنيا,Tunis,MGR,train
ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,Tunis,MGR,train
يا شعب ضل فى الغابات . ليس  بغبى  ماذا  تنتظر ؟,يا شعب يا ضايع ماكش غبي فاش تستنى,Tunis,MGR,train
وأنا جئت اليوم إن شاء الله حتى أكمل جزء بسيط من الموضوع الذى بدأناه المرة السابقة وهو تقويم الأسنان .,و هاو جاء النهار اللي انشاء الله باش نكملوا جزء صغير من الموضوع اللي بديناه المرة اللي فاتت و هو تقويم الاسنان,Tunis,MGR,train
و بالنسبه الى البنات اليس كافيا و لكن يا ليت تاخذوا معكم اجهزه حمايه و خصوصا الصاعق لان زجاجه البخاج غير جيده,بالنسبة للبنات هزوا معاكم حاجات تحموا بيها رواحكم برغم موش كافي خاصةً الصاعق للبلادة,Tunis,MGR,train
"وأيضاً من المفاجئة أنه تحدث حديث رجل عنده كرامه , تخيلوا ؟",لا و المفاجئة انو يتكلم كلام واحد بالحق عندو كرامة تصوروا؟,Tunis,MGR,train
لماذا حذفت تعليق الذى كتبته بنفسك .. انت لا بتؤمن بالرأي والرأي الآخر ؟,علاش يا حلو تفسخ تعليق كتبتو انت ..انت ماتمنش بالرأي والرأي الآخر ؟,Tunis,MGR,train
قالت لى هل تعرفى هذا ماضى مر منذ كام سنة,قتلي نعرف هذا ماضي تعدا من سنين,Tunis,MGR,train
و مستاء لأنى لا أستطيع أن أرسل أليكم,ومتغشش على خاطر منجمش نبعثلكم,Tunis,MGR,train
وان لم ينتبه احد من الناس.,حتى لو كان الناس موش رادين بالهم,Tunis,MGR,train
الرب يحفظهم  لى البنت المسلمة ، الاميرة سيرو ،زينب ، ايمى,ربي يخليهملي بنتي المسلمة اميرة و زينب و ايمي,Tunis,MGR,train
لو قلنا الأن أن الأخوة سيرفضونه ثق فى الله سيكون ذلك قريب,ماهو احنا توى كان قلنا الاخوة هذوما كان اتكلوا على ربي ان شاء الله على قريب,Tunis,MGR,train
عن موضعها الحقيقى لموضعها الاستعارى ، الأبداع هو تحطيم النقل وتفجيره,من بلاسطها الصحيحة لبلاسطها المستعارة الابداع هو تكسير النقل و تفجيره,Tunis,MGR,train
عن طريق الأنترنت حيث أصبح لديهم كمبيوتر,من الأنترنات على خاطر توا ولاو عندهم ارديناتور,Tunis,MGR,train
اشعر بالدفأ والطمأنينه .,الركشة ودفا,Tunis,MGR,train
ولكن أي رايي قد يلبي مقاييس المنطق والتدقيق وبعيد كل البعد عن الصراعات الشخصية والأصولية,أما انا راي يستوفي معايير المعقولية ويبعد قدر المستطاع على الغش و المشاكل الشخصية,Tunis,MGR,train
مثلاً أنتى لن تعرفى هذا التعبان ولن تهتمى به خلاصة القول الفضفضة,مثال ماكش باش تعرف الراجل التاعب و ما يهمكش فيه في النهاية خليوه,Tunis,MGR,train
بإفتراض ذلك أن العيب فيك أنت و ليس فيها,نفرضوا لا قدر الله كان جاء العيب منك انت و هي ما بيها شيء,Tunis,MGR,train
و سنقطعك أيضا إذا لم تعجبنا,و نقطعوك زادة كان ما عجبناش,Tunis,MGR,train
و أتمنى ان يتحقق كل سنة و ان تكونوا فى صحة جيدة و من يتمنى شىء لتحقيقه الرب يساعده فيها,وماذابيكم يتحقق كل عام و انتوما طيبين واللي يتمنى حاجة يحققها يا ربي اي واحد يحب يشارك,Tunis,MGR,train
عندى غدا انتظره,ولا عندي غدوة نستناه,Tunis,MGR,train
وللمشاكل الكبرى بسبب أن التوازن والوسطية ضروريان,فما برشا مشاكل هذكا علاش يلزم كل واحد يطيح شويا,Tunis,MGR,train
لماذا لانه تعود من الصغر انه يناقش و يحاور,علاش على خاطر هو تعلم يتحاور من صغرو,Tunis,MGR,train
نتحدى ان يضيع العمر فى الفوضى,نتحداك إلي لعمرباش يمشي فالفوضى,Tunis,MGR,train
و الشخصين الذين بجانبى يثرثرون كثيرا,و الزوز اللي حذايا يحكيو من الصباح,Tunis,MGR,train
وهل باقى الفيلم بهذه الحقارة التى تفعلها يتعب أى أحد نفسياً,باهي اللي عملتو في بقية الفيلم موش يتعب اي واحد نفسنيا,Tunis,MGR,train
رد الثانى عليه الذى يضايقنى أن السور قصير جداً,جاوبو الثاني اللي مقلقني انو واطي برشا,Tunis,MGR,train
لم انتبه,ما إنتبهتش,Tunis,MGR,train
يقول شخص عصبي لزوجته,واحد معصاب يقول لمرتو,Tunis,MGR,train
المشكلة أننى واثق أن كل شخص سيقرأ هذه النصائح سيشعر إنه كان يخطأ من قبل مثلى تماماً,المشكلة اني متاكد اللي كل واحد باش يقرى النصايح باش يحس اللي هو كان غالط كيفي,Tunis,MGR,train
كتكوته مشاغبه تحدّث الكثير من الضجيج,كتكوت هايج عامل حس و مس,Tunis,MGR,train
و فرحة العيد والعديه,و فرحة العيد و المهبة,Tunis,MGR,train
شوق و حنان,وحش و حنان,Tunis,MGR,train
و ايضا طريقه النقل التى ننقل بها تعتبر سرقه لاننا نقول منقول بدون ان نكتب المصدر الذى تم النقل منه,حتى طريقة النقل هاذي هي سرقة على خاطر يلزمتقول على المصدر,Tunis,MGR,train
أتمنى أن تكونوا واثقين و هذه ليست فقط كل الأدلة التى لدى ، لكن هذه التى درسها أقل طالب يتخرج من كلية الآثار,انشاء الله تكونوا إقتنعتوا و الحاجات هاذي الكل مش كل الأدلة اللي عندي أما هذا كل اللي قراه أقل طالب متخرج من الأثار,Tunis,MGR,train
إنه يحب أن تكون لديه عيوب أو مشاكل فى شخصيته,لازم تكون عندو عيوب ولا ديفوات في شخصيتو,Tunis,MGR,train
يا رب الشباب يتعظ من الذى حدث مع هيثم و يرحمون اهلهم,و يارب الشباب ياخذوا العبرة من اللي صار لهيثم و يرحموا اهلهم شوية,Tunis,MGR,train
و أصل الكلمة يونانى هابلوس,وأصل الكلمة يونانى هابلوس,Tunis,MGR,train
لا يوجد مكتبه عند جدتى و كتبى اهم عندى,مافماش مكتبة عند تيتو وكتبتي عندي أهم,Tunis,MGR,train
شكراً لأيديك الجميلتين و هدياك الاجمل..,يعطيك الصحة على الكادوات المزيانين,Tunis,MGR,train
ما قد  جهزته  ليوم الاربعاء . اولا   السيد  محمود  حميده  فهو  رجل غير  اعتيادي.,إللي حضرتلوا نهار الاربعاء اولا محمود حميدة معندوش حل,Tunis,MGR,train
وأصبح مساعدي المعلمين رؤساء الأقسام ، ووجدت معلم الميكانيا الذي كان معلمي في المدرسة المتوسطة,والمعدين ولاو رؤساء اقسام ولقيت استاذ الميكانيك متاع الكولاج,Tunis,MGR,train
اذا كان بيننا شكر يا عزيزتى,لا شكرا على واجب يا عسولة,Tunis,MGR,train
وأهلاً وسهلاً بيكي في المنتدى الجميل,اهلا و سهلا بيك في المنتدى,Tunis,MGR,train
قلت له افهمها كما تفهمها,قتلو افهمها كيما تفهمها يا ولد هنية,Tunis,MGR,train
فضلت الهاتف على الطعام,قدمت الالو على الخبز,Tunis,MGR,train
قد خفف الله عنه,ربي رحمك من التمرميد مش أكثر من هكا,Tunis,MGR,train
من الممكن أن يسبب لنفسه المشاكل إذا أحد اكتشف إنه يتحدث معى !!!,ويمكن يمشي فيها كان يفيقوا بيه يكلم فيا,Tunis,MGR,train
مبروك كارنيه المحاماة يا متر,مبروك رخصة المحاماة يا متر,Tunis,MGR,train
حسناً انك تقول أيضاً أن الشخص يعمل لمدة 12 ساعة,باهي انت قلت الواحد يخدم 12 ساعة,Tunis,MGR,train
أى أثنين يحبوا بعضهم لا يتزوجوا,كل زوز يحبوا بعضهم ما يعرسوش,Tunis,MGR,train
لا يكون حب ممكن يكون إحتياج للحب وليس أكثر,ينجم يكون موش حب يمكن احتياج للحب و اكهو,Tunis,MGR,train
ولأن سرك عظيم نحن سوف ننسى غبائك,وعلى خاطرك نية باش ننسى هبالك,Tunis,MGR,train
جميلة جداً,ههههه ما كش نورمال,Tunis,MGR,train
لا يوجد شئ سيتغير,مافما شيء باش يتبدل,Tunis,MGR,train
انا أريد العدالة و انتظر هنا ، هذا رابط الموضوع,انا نحب الانصاف و هاني نستنى,Tunis,MGR,train
الجِد : حسناً اخبرنى ، أقترب منها ، هامساً فى أذنيها,الجد طيب قولي اللي يقرب منها نجبدلو وذنيه,Tunis,MGR,train
بعد مضي شهر من زواج الدودة الليفية على صرصور قام بتطليقها هل تعرفوا لماذا ؟؟ نصف مرتبه يشتري به جوارب,بعد شهر من عرس ام اربع و اربعين ساق طلقها الصرصار تعرفوا علاش ؟؟ نص شهريتو شرالها بيهم كلاسط ههه,Tunis,MGR,train
حسناً لقد تكلمت عن محمد بكري الذى يحرم من المشاركة في فعاليات ثقافية في القاهرة تحت مسمى رفض التطبيع,باهي انا حكيت على محمد بكري اللي يحرم المشاركة في الفعاليات الثقافية في القاهرة تحت اسم رفض التطبيع,Tunis,MGR,train
مباشرة ولم يخضع لرقابتك,شبيك ديما تعس علي,Tunis,MGR,train
معماريه الكونروي نزلت تقريبا في شهر مايو,معمارية الكونروي هبطت تقريبا في شهر ماي,Tunis,MGR,train
و أريد إخبارك شىء 20 الف موظف فى التموين يجهزون لإعتصام قريب,و نحب نقلك معلومة٢٠ الف موظف في التموين يحضروا في اعتصام قريب,Tunis,MGR,train
ذات مره كنت فى الازهر بارك و اقول لصديقتى لماذا لم يقيموا افراح هنا ؟,أنا مرة في الأزهر مع صاحبتي وقلتلها شبيهم ما يعملوش عروسات لهنا,Tunis,MGR,train
قال لهم و الطوااف ؟؟,قالهم باهي والطواف ؟؟ !!,Tunis,MGR,train
وعيدك مملوء بالحب والصلح ان شاء الله .,عيدك الكلو حب وصلح ان شاء الله,Tunis,MGR,train
وإذا امسكتى به سيقول لك أنا نازل ويغلق الباب بسرعة,و كان شديتو توا يقلك انا هابط ويسكر الباب فيسع,Tunis,MGR,train
لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,لازم مانكنوش سلبيين برشة و ديما,Tunis,MGR,train
الذى جعلنى اختار دراستى على اساسه,على هذاك خطرت قرايتي,Tunis,MGR,train
الناس سألته ماذا كان سؤالك؟؟,الناس قالولو شنوا كان سؤالك؟؟,Tunis,MGR,train
من الرئيس يا اخى,رئيس شنوا يا ولدي,Tunis,MGR,train
و للأمانة هذه تكون فظاظة لأنها تلقى التحية لكل الناس,مالا شنوة تولي قلة تربية مدام تسلم على الناس الكل,Tunis,MGR,train
و يعتبروه إهانة,يحسبوها إهانة و سبة,Tunis,MGR,train
ولكن ما أراه في المشهد العام هو مواقع أو مواقف أسوء من حديث القمة عن مواضيع جنسية,اما اللي نشوفو في الساحة العامة فما برشا مواقع خايبة تحكي على الجنس و المطاوعة,Tunis,MGR,train
لكنه معزور ايضا لاننا عاده نقيم هذه الامسيات و الدعوه عامه,لكن هو معذور عمل كل شي برضاه واحنا المنتديات نعملها عامة,Tunis,MGR,train
و اخبرها عندما طردت من وظيفتى كنتى معى و عندما مرضت,و قالها وقت اللي طردوني من الخدمة وقفت معايا و كيف مرضت زادة,Tunis,MGR,train
هذا اذا كان لديك النيه فى شراءه,إذا كان عندك نية إشريه,Tunis,MGR,train
الدموع تغسل النفوس والخطايا,الدموع تغسل الأرواح والآثام,Tunis,MGR,train
تحلم معى الشيماء حامد,نحلم بشيماء حامد معايا,Tunis,MGR,train
أحد الاشخاص تشاجر مع زوجته,واحد كان متعارك مع مرتو,Tunis,MGR,train
هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,حد ما يكسب فيا ثواب و يخطفني انا زادة,Tunis,MGR,train
لا  احد  غيرك  يعرفه .,حتى حد مايعرف كان إنت,Tunis,MGR,train
نحن فى  خدمتك . الاغنيه  رائعه  وصراحتا  اتعبتنى .,اي خدمة الغناية حلوة و بصراحة اتعب,Tunis,MGR,train
وهم ايضا  يضايقونه  بها .  وان  حمل  اوراقا  رسميه  .,اللى بيرقفوه بيها حتى لو كانت اوراقه سليمه,Tunis,MGR,train
ان حياتك هكذا اصبحت مقرفه ومعقده جداً .,حياتك هكا ولات صعيبة و معقدة برشا,Tunis,MGR,train
هذا كان يجب أن يكون فى الأول حتى لا تحدث مشكلة ويظلوا يفكروا فى موقف الناس,علاش موش من الاول و لا لازم يعملو مشكلة و بعد يقعدوا يخمموا في حالة الناس,Tunis,MGR,train
دعنا يا اخى نقف امامهم افضل من انهم يقفوا امامنا,ايجا يا عمي نقفوا قدامهما خير ماللي يقفوا قدامنا,Tunis,MGR,train
كل بنت  لها  عمل  بالطبع . ومن  ضمنهم سوف  تجد اللاختيار  الحادى عشر .,كل واحد عندو خدمة ومنهم باش تلقى ألإختيار 11,Tunis,MGR,train
و إذا كنتم تريدون الكثير من القصص ، سنروى قصص أكثر .. أنتم تأمروا و نحن جوارى القرن الواحد والعشرين علينا التنفيذ,و كان تحبو اكثر قصص نحكي قصص اكثر اما هكا انتوما تؤمروا واحنا جواري القرن الواحد و العشرين علينا كان انفذوا,Tunis,MGR,train
لا  احد  يستطيع ان  يقول  ان  هذا  قدراٌ,شكون إلي قال هذا مقدر ؟؟؟,Tunis,MGR,train
أنظر يا محمد ليس هناك أحد ينكر أن هناك أشخاص أمناء,شوف با محمد حد ما ينكر اللي فما ناس اميين,Tunis,MGR,train
و من المفترض ان اى شخصين فى علاقه حب لا يجرحوا بعضهما البعض,المفروض اي زوز يحبو بعضهم ما يجرحوش بعضهم,Tunis,MGR,train
انا لست أغلى من الدره .,انا مانيش اغلى من الدرة,Tunis,MGR,train
وهذا كل شىء,هكا اكهو,Tunis,MGR,train
انا مشكلتى ان اصدقائى اكثر وقت كان من الممكن احتاك لهم فيه,أنا مشكلتي نجم نحتاج صحابي في أي وقت,Tunis,MGR,train
"لذا تذكرنا أخي ""هدهد مصر"" عندما تحكم مصر",وبالله تفكرنا خونا «هدهد المصرى » كي تشد حكم مصر,Tunis,MGR,train
و هناك مواد  خام مثل الخشب و الطين و القمح,وفما المواد الخام واللي هي اللوح والطين والقمح,Tunis,MGR,train
شكراً لإجابتكم,شكرا لردكم,Tunis,MGR,train
ليس انيس الذى تاتى الكره بقدمه,مش أنيس إلي كل مرة تجي الكرة في ساقو,Tunis,MGR,train
اكتب  بطريقه  صحيحه  دون ان  يلقننى احد.,أنا نكتب بصحيح وحد مايغشني,Tunis,MGR,train
هل هكذا الموضوع بسيط أو أن فى الحقيقة لا يوجد إهتمام,هو هكا الموضوع عادي ولا بالحق نورمال,Tunis,MGR,train
هناك الكثير من الاشياء التى تقول لنا ان نصمت و تعترض طريقنا,فما برشا حاجات تسكتنا و توقفنا,Tunis,MGR,train
لا اعرف اوقات يكون المكان يذكرنى بحدث معين او شخص معين,مانيش عارف ساعات بلاصة تفكرني بحاجة معينة و شخص معين,Tunis,MGR,train
اه  يا  ايها  الابداع . بعد انقضائك  سنضطر  لبيع  سندوتشات  الكبده .,ملا إبداع شخلينى نبيعوا الكبدة,Tunis,MGR,train
بنينا هوامشها قانيين سواقي الذهب,ناسج لحواشي متاعها بالذهب,Tunis,MGR,train
على  من  تقول  انه يخاف .  انا ؟؟,شكون هذا إلي خاف ... أنا ؟,Tunis,MGR,train
ما هذا؟,شنوى هذا؟,Tunis,MGR,train
يجب إقناع أى أحد مختلف معك انه مخطىء و انت قولك سليم,لازم تقنع اي واحد معاك انو غالط و انت الصحيح,Tunis,MGR,train
ولا من الظلم والقهر الذى تتجرعه يومياً فى كؤوس المرار جعلنى أكره هذه البلد,من الظلم و القهر اللي نرى فيه يوميا ضقت المرار خلاني كرهت البلاد هذي,Tunis,MGR,train
أولاً هذا هو الرابط,ولادو الرابط,Tunis,MGR,train
تحياتى لك,نحييك شنوى,Tunis,MGR,train
صلى الله عليه و سلم,صلى الله عليه و سلم,Tunis,MGR,train
كل شخص من بيننا يمتلك نوع من العمل لا احد يأخذ الاخرى ، لا الرجل لو المرأة الرب خلق كل شخص بقدرة معينة لعمل عمل معين,كل واحد عندو خدمتو حد ما ياخذ خدمة حدلا الراجل و لا لمراء ربي سخر كل انسان بقدرة معينة باش يخدم خدمة معينة,Tunis,MGR,train
لماذا تحكمى باسوء,علاش تؤمر بالحاجات الخايبة,Tunis,MGR,train
نام اخى وحاولت أن أنام,رقد خويا و حاولت نرقد,Tunis,MGR,train
الذي يذهب من دون دخان، ونحن نبحث عنه حولك، والحب النقي الصادق أيضاً,اللى طلع من غير دخان ،لوجوا عليه عندك .. زادة الحب الصافى لوجوا عليه عندك,Tunis,MGR,train
صادفت أن ابحث عن قيمة الانتقالات ، لم أجد شيئا ووجدت حقيبة اليد خاصتى مفتوحة,بالطبيعة فورمات,Tunis,MGR,train
وهذا من الممكن حدوثه لخصوبه الارض .,وفعلا يصير على خاطر الارض خصبة,Tunis,MGR,train
ذات  يوم  اتفق  اثنان  من  المختلين  عقليا  ان  يهربوا  من  المستشفى .,فما زوز مهبلة تفهموا باش يهربوا من السبيطار,Tunis,MGR,train
هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هذا اخطر ببرشة من حد يعلق على اهداف سويف ولا محمد بكري,Tunis,MGR,train
احكى لنا عن اشياء تفضفض عنا مثل قصه ام اربعه و اربعون او قصه ابو رجل مسلوخه او امنا الغوله,احكيلنا حاجات تفرهد شويا كيما قصة ام اربعه واربعين او ابو رجل مسلوخ او امنا الغوله,Tunis,MGR,train
با أولاد با بنّى ساعدنى و ابحث لنا اين الباب لنخرج بسرعه,يا لولاد يا وليدي شدلي يدي و وريني الباب خليني نخرج فيسع,Tunis,MGR,train
لكن من الواضح أنها ليست لها احتياج الان,اما ظاهر ما عادش يستحقوها,Tunis,MGR,train
مجرد كلام ليس إلا,ملا كلام فارغ,Tunis,MGR,train
حتى لا تعود اخد القطه و استمر فى المشى حتى تااه,باش ما يرجعش القطوس هزو يدور بيه حتى ضاع,Tunis,MGR,train
أقسم بالله انه صحيح كلمات هذه الأغانى,والله يا لولاد كلام اغاني دانا صحيح,Tunis,MGR,train
اذا جاراهم فى القول فانه يكون عالم له هيبته,حتى كان عاندهم في الكلام يقعد عندو هيبة,Tunis,MGR,train
كل عام و انتى بخير يا عزيزتى و اتمنى ان تزوري مدونتى مع السلامه,كل عام وإنت بخير يا قطوسة ونتمنى تزور بروفيلي,Tunis,MGR,train
طلبتى منى المجئ فأتيت .,قتلي ايجى جيت,Tunis,MGR,train
فى حكايتى معاك حاولت انساك,نحب ننسى حكايتي معاك,Tunis,MGR,train
وزاد الضغط على المصريين بعد تعريب الدواوين,كثر الضغط على المصريين بعد تعريب الدواوين,Tunis,MGR,train
المريض نعطيه حقنه,لمريض نزرقولوا,Tunis,MGR,train
وقليلاً لا,و ساعات لا,Tunis,MGR,train
هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات,هذا كان نجمت تنسى يمكن تقعد اسابيع ولا شهور ولا عوام وشوف تنسى ولا لا,Tunis,MGR,train
وسبب  كتابتى  هو  لتعريف  شخصيتى  بالاعلى .,وأنا نكتب باش نعرف روحي,Tunis,MGR,train
وايضا  الاخ   تويتى   من  وقف  على  منتصف  السلم .   انتظر الى .... التاسع  فى  ذالك  الكتاب  .  الذى  لم  نبادر  بشراءه حتى الان .,والأخ تويتي هو إلي وقف وفضحنا في وسط السلم شوف العريس التاسع في الكتاب اللي مازالت ماشريتوش يا معلم,Tunis,MGR,train
لست فى حاجة للتوضيح لأن المكالمة استمرت بالفعل لحين عودتنا للمنزل,مازال لازم توضيح ان المكالمة قعدت بالحق حتى روحنا للدار,Tunis,MGR,train
كنت لا أريد أن ينتهى البرنامج,ما حبيتش البرنامج يوفى,Tunis,MGR,train
فى الواقع أعجبنى أحساسك,اما عجبني احساسك برشا,Tunis,MGR,train
سوف تكون سعيد جدا ً وسوف تغازل وتغازل وتتحدث,باش تتفرهد برشا برشا و باش تبزنس و تبزنس و تتكلم,Tunis,MGR,train
حسناً ياجميل أقسم لم اقولها إلا بحسن نية,باهي يا حلوة والله عمري ما قلتها الا بحسن نية,Tunis,MGR,train
حركه ايد براندو فى اول مشهد فى الفيلم عندما يحك خده باصبعه الاوسط,على خاطر حركة يد «براندو» في أول مشهد فى الفيلم وقت يعمل خدعة بصبعو الوسط,Tunis,MGR,train
لأنك شخصية و لن اقدر أن أوصفها,على خاطرك شخصية بلحق منجمش نوصفها,Tunis,MGR,train
لقد كنت مشغولا ً هذه الأيام,لاهي النهارين هذوما,Tunis,MGR,train
حمادة زيدان,حمادة زيدان,Tunis,MGR,train
أى حقوق او بالاحرى يحل لها ما تفعله من انتهاكات,أنا حقوق تخليك تعمل انتهاكات,Tunis,MGR,train
